,0
632,I ordered a climbing gear package for my son and when it arrived I gave him the box for him to open. I later saw the gear package that came was a substantially cheaper package than the one purchased. I emailed them and customer service said it could only be returned with tags still attached but my son had already opened everything up.  Definitely will not be buying from them again or OpticsPlanet because I'm pretty sure they're the same.
633,"My first experience with this business was perfect.  The money I saved on a coat I've been hunting for for several weeks is huge.  Shipping was fast, coat new and perfect.  The money I saved was significant as my coat is still being sold by the manufacturer.  This place won me over.  This will be my goto place to look first."
634,"Bought a pair of boots that they said were in stock because other vendors were sold out of my size. After they credited my card, they sent me an email saying it was not in stock and wouldn't ship for 16-30 days. After waiting 30 days, they sent me an email saying they cancelled my order all together because of stocking issues. Absolutely horrific way to run an online retail store and in would not trust them with another purchase."
635,"After reading the reviews of CampSaver on many sites, I was hesitant about placing an order from them. However, my experience was completely positive. I placed an order for an item last Saturday, it shipped out on Sunday with tracking information, and it arrived today (Thursday). The item was well-packaged and as described. I'd order from them again!"
636,"Someone made a $305 purchase with my credit card #. Have tried to contact. Phone # leads to no one, not answering the phone due to covid and directs to their contact by email info. All contact email info leads to 402 Gateway timed out page. Should answer any doubt's about this company. STAY AWAY, GO ELSEWHERE!!!!"
637,"I have chosen ""order cancel"" twice 10 mins after purchased the shoes last night.  But today the order status is ""order shipped"".  I tried to send them email but their no idea why thier email system just pop up ""error"".I'm a long term customer of CS for years,  but today I have found that the canceling order system is a mess.  They should learn it from Taobao,  fast and efficient.  After today expericence,  I think I will no longer buy things on CS, I will buy somewhere else like Amazon."
638,I placed an order for two shirts. They tell me one wasn’t really in stock… I ordered two shirts identical because they were for twins. They decided to just ship me one without Asking whether I wanted the rest of the order. I’m not even on their subscription list and they send me ads every single day
639,"After waiting almost 8 weeks and several calls which was communicated to me my order would be filled on 3 different dates, and my order still had not been filled. I was told on the second call that they would upgrade my shipping. I did find the item through another vendor which offered the same discounts and shipping but was also able to use my dividend for more cost savings. The quickest response I received was cancelling the order."
640,"Order a tent and wait for two weeks yet not getting the tracking code or shipment update. When I contact their CSAfter the first week, they told me the ordered already shipped, but when I contact again in the second week, they told me the order just being processed and ask me to wait couple more day for the tracking code."
641,"On entering the website, I get an offer for 10% off on my next order (no * anywhere with fine print),  if I sign up for their emails.  So I sign up and get a code which I plug in to use on my order.  Then it says code is no good, so I try it a few more times.  Finally I get to a page that shows all the things that the discount doesn't apply to.  Now, hopefully, I can unsubscribe to their emails and shop elsewhere."
642,"I posted this exact thing on yelp: I can't help but feel compelled to write a review. I was pretty distraught after I placed my order and then stumbled across the substantially less than flattering reviews. Before I became aware of those reviews, I ordered an air mattress which was the best deal I could find even though it was just a few bucks. They shipped it that day and it arrived shortly thereafter on time and as expected. I had a pretty good experience. No worries at all."
643,"This company is terrible. Everything is 'in stock' until you order it, and then two weeks later they tell you it's not in stock and it will ship to you in a month or two. When questioned they said they are a small company which makes it difficult to track inventory??Zero customer service, no refunds for returns (and everything is manual, no online return request). Had to file a claim with my bank for a returned item. Just the worst shopping experience. And apparently, a scam."
644,"Ordered my gear and they told me it would be around 20 days to fill the order. That's fine, everything was from Japan. 1 month later they still don't have it. 2 months later they still don't have it, and tell me it is going to be another month. 3 months (maybe longer) just to get stock of the items I ordered. Don't waste your time."
645,"Winning!I purchased my tent about 4 weeks ago. I got a great price and it was delivered promptly with no issues. I had a question about pricing and the customer service rep was the nicest I have ever dealt with. Very friendly, funny and accommodating.I just ordered my backpack from them today and, again, got a great price. So far, they have exceeded my expectations. I had purchased mainly from REI in the past, which is also a great site. Campsaver beats them in pricing and service (so far), IMO."
646,"I placed an order with CampSaver.com despite the many negative reviews on Trustpilot because they offered the best deal on the coat I wanted. I ordered it on Saturday, it shipped Monday, and was delivered the following Monday via free ""value"" shipping from Utah to Pennsylvania. I was worried that the coat would be second-quality because it was so cheap, but it arrived in perfect condition. While I absolutely believe the other reviewers who had bad experiences, I wanted to share my positive experience as well."
647,"I’ve been an REI member for decades. Not to minimize the force that is REI, but, as I recently am rebuilding my backpacking equipment after decades of child and now grandchild-rearing, I have searched for competitive deals across the web. CampSaver has universally been helpful in recommendations via phone and email (I’m rural) and I’m satisfied with my purchases. I think they’re amused by the grandmother desiring to return to the mountains (okay, with my knees, the hills). Dreams keep us alive."
648,I have ordered several products from stuff sacks to sleeping bags to camping mats over the past year from Campsaver. They consistently offers the lowest prices (especially if you can locate a coupon code). I live in Colorado (right next to their headquarters in Utah) so I always get their products fast. I plan to do business with them again.
649,"They shipped me the wrong item, and after reading everyone else's review it was probably intentional. I'm guessing that the email I will ""eventually"" receive will state the item is on backorder. I should have done my research before purchasing from this sham co. DO NOT BUY FROM CAMPSAVER."
650,"Customer service ignored my email request for expedited shipping for an order placed over the weekend that didn't get shipped on Monday, despite the claim on their website, which is the main reason I purchased from them.  Then I was laughed at, told to have a nice day, then hung up on when calling today inquiring about expediting my shipping, even offering to pay the difference.  Worst first experience with an online retailer in an otherwise consumer friendly industry.  Ruined my day."
651,"DO YOUR SELF FAVOR BUY FROM ANY OTHER STORE WITH GOOD REVIEW, NOT THIS STORE,I ORDERED  ALMOST 1 WEEK AGO & I TRIED TO CONTACT THEM ,NO LUCK ,FOR SURE PHONE LINE IS BUSY & THEY NEVER ANSWER ,EMAIL GOOD LUCK THEY NEVER ANSWER ILL CANCEL MY ORDER FROM MY BANK ,WORST ONLINE EXPERIENCE EVER ."
652,"I ordered a zero helix chair and was so happy with the service, delivery, and quality of the product and experience. The site was easy to use, I received the product within a week time period, and the product was great! Couldn't say more good things about this experience and I will definitely order from campsaver again!"
653,"As the title states, they mailed me the men's parka. There was supposedly only one women's parka left in stock so I can only assume that they never had one. Irritating, especially since I am in US for only a few weeks and now won't have time to buy the jacket elsewhere.I had read these reviews before ordering but decided to take a chance since they were so much cheaper than everywhere else.The positive was that they were very nice on the phone and set up a return, no problem."
654,"I found out about Campsaver on a deal site after years of using Backcountry and Gear Express.  They appeared to have the cheapest pricing and offered a 10% off coupon if I signed up for mailing list.  Well I did, only to find out it doesn't work for sale items or a wealth of various brands.  Nowhere on the sign up page did it state this and it made me cancel my purchase.  How is giving a $4.80 one-time discount not worth acquiring a guaranteed repeat customer?  Foolish business practice."
655,"Great experience. I bough a tee and a jacket that was on sale and had a great experience. Received the products on the estimated time, both the products were right, and I am amazed with the quality of the jacket (it is a DEMO) but you cannot really tell the difference of the one I got and a new one. Have 0 problems with CampSaver. Will definitely buy some more stuff. Looking at all bad reviews I don’t know if I got lucky or what... but everything went just perfect. Best price for the jacket and I dig down the online stores."
656,"I have had positive experiences with CampSaver, having purchased 2 high-end down coats, each costing several hundred dollars, and priced significantly lower than other retailers. Each brand, one of which is Canada-based and the other based in Sweden, is sold by just a couple of other retailers in the US, so, availability plus great prices, and, no shipping fees, was a no-brainer for me. They shipped out each coat the next day and they arrived about a week later. I would not hesitate to buy from CampSaver, again."
657,"I ordered a Big Agnes Rattlesnake 2 tent with the mountainGlo lights (footprint, included free; free shipping, discounts, and extra discounts).  I got a tremendously good deal; so good, I was just hoping I would actually receive the tent....and, I did!  CampSaver made me a very satisfied, happy customer.😀😀😀😀😀"
658,"I have bought several items from CampSaver and I have been thrilled with the quality of each purchase.   When I have bought a clothing/shoe item, if the size didn't fit when I received it, no problem, they quickly and easily exchanged it for me. I will continue to make CampSaver my first stop for all of my outdoor needs!"
659,"These people absolutely do not want or care about your money. When I went into the distribution store in Cache Valley, I was going to get a product from the warehouse that they had in stock, I knew what I wanted, however when I went in, the guy at the counter was so put out that I came in 10 minutes prior to closure he made an effort to be so ignorant to my needs I just decided to turn around and leave.  They must make too much money that they don’t need mine, I will not ever purchase from them again."
660,"I've been waiting for 12+ business days (since my return was delivered to them) to receive my refund. No communication from Campsaver. When I called, they told me that returns are backed up and they may get to it next week. First order with them and sure to be my last. Stick to Backcountry or REI."
661,I ordered something out of stock (because of a coupon they had). It was supposed to be delivered in 3 to 4 weeks and I wanted to save some $$$. A month goes by and I hear nothing from them. I email them and they said the item won't be in stock for a month. It shouldn't take 2 months to get an item from a major brand. It's not like a backpack is a rare and hard to acquire item. If there is going to be a huge delay they should communicate that to the customer. This seems like a no brainer in today's world.
662,"i ordered a jacket from their website to get here (in Australia) for winter. 1 month later the product still hadnt been dispatched. The delivery component of the order was US$57.80, and was promised to arrive within 14-25 days. 26 days later I wrote an email complaining, as I had now missed a good portion of winter. I was given a $15 discount (which is around 11% of the order total). Felt this was fairly poor customer service and refund in general for having failed to live up to their end of the deal so blatantly."
663,"Lesson learned!  Read reviews before purchasing from a new vendor - I now understand why CampSaver has such terrible reviews online. As disappointed as I was with the inaccurate shipping information I received, I cannot even say that CampSaver at least provided a prepaid return shipping label for my inconvenience of having to purchase all the items locally after paying them for expedited shipping! Their customer service leaves a lot to be desired and requires a warning to all potential consumers to steer clear of CampSaver!"
664,"Got pants that had a messed up dye pattern, asked for exchange but asked that someone check first that the other pairs are not also seconds, got another pair of seconds, had to return that too, got a measly refund and spent a lot of effort and post office trips to deal with their errors."
665,"I saw a jacket on a website from Mammut . They did not have my size. I noticed it was on Camp Saver for $150.00 less, I read many of the not favorable reviews. Their website said only 1 left in Large.I called. I was immediately helped and told in fact  there was 1 left in the factory and it would be shipped the same day. I took a chance.I AM GLAD I DID .I received the perfect jacket in 3 days .Trust me, don't always believe negative reviews.Camp Saver is a quality company that I will use again and recommend to my friends ."
666,Prices may look good but it has happened far too many times for me where you think you're getting a great deal but they hold onto your paid order for weeks without shipping despite saying they have things in stock.  I think they do this deliberately.I won't be buying anything more from them.
667,"I order a pair of Patagonia shorts that were on sale for 36 dollars. It was a great sale and I thought it might be too good to be true but I ordered them anyways. I ordered them on Saturday, they shipped on Monday, and they arrived at my house on Thursday. I had no problems and it was a good experience!"
668,"Horrible experience. It took 45 minutes to complete the initial order because they had to do it via a online chat because their promo code on their home page didn't work. The person on the chat asked me to enter my credit card info on the chat and I refused because that is a huge security issue. Visa shouldn't allow this place to process credit cards with this type of relaxed policy. Finally, they sent me an invoice via email and I paid their email account like I was sending money to a friend via PayPal. So I find out they haven't shipped the item for 4 days despite their policy being a 1-2 days. Now I may not get the item in time and they would do nothing to fix it. They just say ""apologize"" over and over. It is within their power to ship the item at a faster speed but refused. This is a horrible company that doesn't respect customers whatsoever. I have spent almost an hour and a half dealing with one small order. Please do not order from this company!"
669,"Ordered from CampSaver on Amazon. They cancelled my order and stated Cancelled by Customer.  When Amazon looked into it they found that CampSaver cancelled the order. When contacted they said I would have to repurchase the items because Amazon cancelled the order. The original item was $120 full price and they had a discounted one available for $75, guess they felt that price was too low after all or maybe the already sold the item. Regardless, the customer service is poor and the company is deceiving in its practices."
670,"I ordered jacket Jan.3 before I read any of the reviews.I received the jacket by Jan.6th & it was just what I orderedand had seen at REI for full price, getting it for 15% less andpaying no 10% State sales tax.I was so pleased I ordered my husband the same Patagoniajacket in a different color"
671,"Called them up because I needed a rope for a climbing trip and was told unequivocally that if I paid the overnight shipping upcharge I would receive it on time. Waited patiently for shipping confirmation but never received it, called to confirm, no answer. the next day when it was supposed to arrive I finally did get an email that said they hadn't even shipped it yet. So now I don't have what I needed, am out the 45$ shipping and the rope is sitting on my front porch for the next 10 days. Three emails and no response."
672,"CampSaver said that they had inventory of an item that we knew was being discontinued soon.  We ordered it, and didn't hear back from them for weeks that they no longer had the item.  Everyone else had stopped carrying the item by that point.  Very frustrated and disappointed with them."
673,"I've ordered several things from CampSaver that I found on other sites, but was much cheaper when purchased here.  Shipping is not super-speedy, but it is totally free; even returns.  Everything I ordered was exactly as described and in great/new condition.  The return policy is fantastic as well.  It is hard to buy clothes online these days without trying them on first and it is nice to be able to easily send it back if it does not fit.  Now, I check CampSaver before buying anything that they might stock because of their low prices, great deals and great service."
674,"I really don’t get what’s up with all these bad reviews... ordered an Arcteryx jacket and it arrived in less than 2 weeks. Great quality! Very hard to find online and Camp saver had it!  I am not expecting amazon prime service for a small company like this. Happy customer, thank you."
675,"I ordered two pair of hiking shoes in same color (black/silver) recently, however they send my one black/silver and another black/bergot. I even paid import duty on delivery (I live in Canada), imaging what kind of hassles are getting to me. order from campsaver? think again!"
676,"Attempted to order a Stanley Adventure Cook + Brew set. I ordered it for an overnight kayaking/camping trip that was planned for 7 days after I placed my order with campsaver. I paid the additional postage for 3 day shipping. Later that same day I received an email from campsaver stating that my order would ship in an estimated 11-22 days. It took almost 45 minutes on hold for someone from C.S. to answer my call, this was after they didn’t respond to my C.S. email. I’m still waiting on my cancelation email.  Absolutely pathetic business practice!"
677,Overpriced and they don't list when items are back ordered. I found out after the item wasn't going to ship for 24 days!  How can a site even stay in business doing that . Customer service was rude and unwilling to work with their customers after falsely advertising what was in stock.
678,"Bought a jacket that was IN STOCK,  3 weeks later the item still wasn't shipped. I emailed and asked for an update or to cancel my order. Got an email back simply saying my order was cancelled,no apology for the wait or anything. Total fraud of a company. Avoid at all cost. SCAM!"
679,"Got a great deal on a bunch of gear.  They had a big sale and I was able to get a number of items for super cheap.  Also, after I bought some things, I noticed a coupon go up the next day.  I called their customer support and they applied the coupon retroactively to my earlier order and sent me a refund for the amount that the coupon would have saved me.  Very friendly and helpful customer service.  I have no idea why their score on Trustpilot is so low, I had a fantastic experience with them and got a bunch of stuff for significantly cheaper than anywhere else."
680,"Being rather adventurous, I ordered a 650$ tent at campsaver's to be shipped to Germany without spending too much time reading all the negative reviews. I wondered how it might work out and how long it would take for the tent to eventually arrive – will we be alright for summer vacation or did I just dump some cash in the Atlantic Ocean? And I was pleasantly surprised: everything went smooth and quick; the parcel was seamlessly tracked and arrived a little more than a week later (earlier than noted). My overall experience was very good, didn't have to contact customer service though."
681,"I too was nervous to order from here due to the negative reviews but decided to go ahead and give them a chance. The item I ordered was perfect, shipping wasn't super fast but not slow either and tracking number was provided. Will be ordering from them again."
682,Emails get sent at a rate of one per day. Verification of card details is a joke. Payed for express shipping only to find that it’s been seven days and still it’s not been shipped. You’d get better service from a blind and deaf merchant in a Turkish bazaar.
683,"Lots of bad reviews of CampSaver made me hesitant to use them but my experience was only positive. Received a discount code for my first purchase, which was only good for one item. I was in between two sizes, I reached out to them and they allowed me to use the discount for both items to ensure I got the right size. Both items shipped quickly and arrived within a few days. Be sure to look at the shipping time for your item, some items say they won't ship for a week or more and I think that's where the bad reviews are coming from saying their items aren't arriving. Customer service has been quick to respond both times I reached out."
684,Bought a UL tent not currently being sold in Europe. It was on sale so I got it cheap even with the import duty.It arrived in about 2 weeks and looks great. Can't wait to use it.The only bad thing about campsaver is the mail spam you get but you can just unsubscribe.
685,"Ordered a winter jacket on Nov.26.  Got an email a day later saying my order would ship in 7-21 days.  I tried calling on Dec. 26, but I just got music.  Nobody ever answered.  I emailed them to cancel my oder.  The email option says someone will contact me back by email within 24 hours.  On 12/31, I had gotten no response.  I emailed again....  This is the worst customer service and order experience I have ever had.  Now it's almost January.  I have no winter coat.  I'm afraid to go buy one because I might get another one in a month or two from Campsaver.  Do NOT order from this company."
686,"I just want to leave CampSaver an amazing review on my moose knuckle 3q coat I just received. Iam inlove! I was so worried after seeing so many bad reviews about this site and this coat is awesome! Also, it came in less than a week! Thank you so much!"
687,"Very disappointed with the business interaction I had with CampSaver. I placed an order and it did not tell me it was on a 5 week backorder until AFTER the transaction went through. I immediately emailed their customer support to cancel the order. I did not get a response so i sent about 6 more emails and called a few times and still no response. Finally about 5 1/2 weeks later they responded (after it shipped) to tell me ""unfortunately the order cannot be canceled as it has already shipped"". It is obvious they ignored my request to cancel the order until well after it was too late to do so. What a shady, dishonest practice."
688,"I had ordered something online that show it is in stock on January 1. I received an email that said I would be receiving it in 3 to 5 days. Several days later I get an email that it is out of stock and it would be shipping in two weeks. I follow up three weeks later and the date moved. I followed up again and the date has moved two times the first time the date moved . Horrible customer service, horrible communication, extremely poor online inventory system – I will not order from them again and do not recommend that anyone does. It’s not been a good experience heal their service is acceptable"
689,"While I don't doubt all the negative reviews regarding shipping and customer service, I just wanted to chime in that not every transaction is such.Despite looking over these reviews and similar on other sites, they had a backpacking tent I wanted for $60 cheaper than anywhere else. I didn't need it until October and didn't have any concern if they were to not charge my card until the order shipped (as others have complained), so I went ahead and ordered.I ordered on a Saturday night and got the package delivered (from Utah to Phoenix, AZ area) the following Friday! No issues with product or anything else here."
690,"I have ordered several time from this group. They have a good selection for my outdoor interests, and have been on par or better than other online stores I have purchased from.  Keep up the good work Campsaver.com. Seth AndersonGrand Junction, Colorado."
691,"I'm an avid online shopper for outdoor gear. Camp saver is the only place I was able to find a Patagonia jacket in a discontinued color, however I was disappointed when I was sent a ""payment verification"" email a couple days later. This email read almost like a virus, requesting that I respond in ten days or else my order would be canceled. I was given two different, difficult options involving calling my bank and providing campsaver with personal account information. I have never seen anything like this and am wary of following through with my order. Shouldn't my credit card information be enough?"
692,"I'm debating on if I should order from this website because I read all of the bad reviews and it makes me nervous. There were also good reviews, but not as much as bad ones. I would be happy if anyone can reply to let me know what I should do. Thank you."
693,"Their inventory used to be a lot better but after the recent revamp, many items are not in stock and they do not update you until you email them. Quite a disappointment, considering how they used to be one of my go-to sites to purchase outdoor gears."
694,I started Google shopping camping products to get the best deal. Campsavers came up as the best option for price. The product and service was great and the email discounts are unbeatable. Try it out the next time you are thinking of spending more at REI.
695,Ordered 4 identical items in a size large.  Received them as a size small.  Completed return and second shipment had the exact same WRONG sized items.  I called customer service for a full refund.  I'll pay extra to work with a different business.
696,"I bought an $800 Thermal Binocular here and returned it, and I am having to file a PayPal dispute to get my money back. I will never buy anything here again!"
697,"At this point I have to say 1 star, I placed my order on November 30 and my status says “order placed”. It has been over a month! And I have only received a generic email reply to my email asking about the order. This is unacceptable."
698,"I had an excellent experience with these guys! Everywhere I looked this sweater with $195 Canadian, so when I saw it listed here for significantly less I was skeptical. It didn’t help that there was an extreme mix of reviews online, however, some of the negative reviews are senseless and dumb.  I placed my order on January 30, and received it today, February 11. Not sure where they are located,But I am in Toronto, Canada so I don’t know if that is standard time for them or not. I didn’t have to deal with customer service for any reason so I can’t give an opinion on that but the prices, shipping speed and customer satisfaction our way up for this guy"
699,"I had a very positive shopping experience with CampSaver.com.  I ordered a pair of shoes, much cheaper than anywhere else, and a pair of socks.  There was also a promotion with the shoes that allowed me to get another pair of socks free.  Due to a glitch in their system or even my fault my free sock did not ship with my order.  I contacted customer service and had a response with in 24 hours.  They bent over backwards to give me multiple options to fix the issue.  In the end I got the socks in my original order for free.Great prices, great customer service, and great products.  Don't be afraid to order and save a lot of money."
700,The worst experience ever on online shopping.They sell products they don't have and say it's in stocks. I've been waiting for my item over a month.They don't even bother replying to my email. No apologies no explanations. Repulsive.
701,"I ordered two Exped Megamat 10 Duo camp mattresses from Campsaver. They were on sale for 30% off (a $230 saving) so I ordered them without hesitation. After 4 days I had not received a shipping notice and I started to get worried having read all the bad reviews about them selling things that they don’t actually have in stock. On the fifth day after I placed my order I was about to call them, but I got a shipping notice and the mattresses arrived in NYC 6 days after that. I did not interact with their customer service, so I can’t speak of that. My experience was thankfully a positive one. However, I don’t doubt the negative reviews and would advise caution."
702,"I ordered from them before I saw the reviews. Had I seen the reviews I probably wouldn't have. However, I'm glad I did (but I also acknowledge that I never had to deal with customer service either).I'm leaving a review because I think the review average doesn't tell the whole story.  My experience, ordered luggage ($30 cheaper per bag than anywhere else) on Thursday (1 week before my flight). Paid extra for 2-day shipping. They shipped it Monday and it came Wednesday night. Not super impressed with the delay to ship but very happy with the price.In short, it seems that they have great prices as long as you can afford to wait longer than you would expect."
703,"I ordered a pair of shoes on November 9, 2018 and have still not received them as of January 3, 2019. Originally, I was told it would be at my home in 5-10 days! This is absolutely unacceptable and I do not recommend this company."
704,"Really a bad Costumer Service. I bought an Umbrella on August 14th, then email the Customer S ricce on the same day to change the color of the Umbrella. It’s been more than 1 month that I neither get a reply from them, neither I got my Umbrella (of any color). I called the Tollfree number 3 times, waited for 5/6 minutes each time and my phone got answered on 3rd time. After my phone call, they sent me a Mailing Sticker of my shipment. Like really?. I’m 34 days, they didn’t even processed my order for shipment. I am really frustrated. Will never buy stuff from this site. I suggest all of you to buy products through Amazon, that’s too fast and convenient."
705,"Read the reviews. Caveat emptor. Very slow to process orders, quick to charge your card however. 9 days after ordering, shipping label created 2 days after ordering. A week and counting, USPS still has not received."
706,"I am oversea customer and had BAD experience last week..Got a email that my order has been cancelled and ask CS the reason behind, would like recap what Ryan@Campsaver replied: ""we are no longer interested in doing business with you and campsaver reserves the right to refuse to do business with anyone if we choose, at this moment we choose not to do business with you, this is all the information i am allowed to provide you.""This is the services what Campsaver provide? I don't care the goods now, just want someone to follow up with that terrible service, my order# 10903575, i also keep the email record with Ryan for backup. Again, feel disappointed!!"
707,"The return process is about as terrible as you can imagine. It's not streamlined at all, they take their sweet time in processing the items once they are received, and THEN they try to convince you that you returned a used product to them, so you can only receive store credit. I received a number of emails rejected by their (full) customer service inbox, the customer service line doesn't get answered (I waited on hold for so long!).... the only way I finally got ahold of someone was via chat.Truly a nightmare!On the plus side, I didn't have the experience that many others are reporting of the product being out of stock or taking months to ship, so there's that!"
708,"I recently ordered Boreas Bolinas 30 L Backpack and thought I was ordering it in the Lunar Black color scheme like the images provided on the website. To my surprise I received the 2015 ""Eclipse"" color scheme of black/gold none of which was indicated anywhere on the web page. Had I known I would not have ordered it. To make matters worse they could not reserve the proper replacement since it was out of stock. I will have to join their email list and call them once its back in stock in order to exchange it. Very inconvenient, it is not that difficult to keep up to date information on the site. A irresponsible vendor for sure! Be warned don't get mislead."
709,"Good experience.A reliable and flexible partner,both in shipping and returning of items.Campsaver customer service is efficient and friendly.They are good at work they do,and I wouldcertainlyorder again!   Recommended!"
710,"Communication is poor, while they do not have a contact number listed they also do not reply back via email. My order was supposed to be delivered 15 days ago which obviously did not reach me. Upon checking I found out Courier company is sending it back due to missing invoice. The first email they replied that they will send and give new shipping information but after 15 days still no updates. I have requested them for update via email, Twitter, Facebook.Funny thing is even without receiving the item I get emails from them asking how do I like my item :D Anyways, my verdict is not reliable at all. I wouldn't mind spending $50-$60 more at other stores for better service. I had to postpone my trips."
711,The worst customer service experience. After ordering an item one week ago and after multiple questions from me about when the item would ship I was finally told the item “should ship today.” After two more days the item had not shipped so I responded to the same email to be rudely told “I said it ‘should’ ship today not that it ‘would.’” Quality customer service interaction.Giving it a few more days I inquired to see if the item was in stock or back ordered. I was told it was in stock and was preparing to ship. Exactly 2 hours later I was informed my order was cancelled because the item was not in stock.Horrible experience and I will not be making any future purchases from Campsaver.
712,"I ordered anyways despite being nervous because of the negative reviews. However, I had a great experience.My Marmot down sleeping bag arrived via UPS (w/ tracking) within 4 days of ordering and I'm loving it."
713,"I was hesitant to make a purchase from Campsaver due to the reviews but I thought that I'd take a chance, I am glad that I did!I placed my order on Saturday for a Mountain Hardware Super Bird ski jacket, it arrived at my house via UPS on Thursday. Of course I didn't order the jacket last minute, needing it for a trip right away so I had nothing to be panicked by a late arrival or fit. I didn't need to deal with their customer service, hopefully it isn't as bad as described by others.The jacket was as described on the Campsaver and other websites and the fit was exact for me. Campsaver will be one of my future go to retailers when I need outdoor gear. BTW the price that I paid couldn't be beat anywhere!"
714,"I was pretty stoked to find that campsaver had the headlight I had been looking for (Oculus 650 by Ultraspire) at a pretty nicely discounted price. $113 for a $160 light. Well, after it arrived I noticed that the packaging had obviously already been opened/repackaged (item was listed as brand new on their site) and the light had a faulty charging system, wouldn’t work in all modes, and had seemingly been used previously. They obviously re-sold me an already returned faulty light at a “discount.” Thankfully UltraSpire themselves has top notch customer service and they took care of me, but I will never shop at CampSaver again and would recommend those of you reading this review do the same. Shady business practices. Stay away!!!!"
715,"First of all, Guys don't be bothered campsaver has no customer service. Even if they do, they will keep saying the same thing over and over. Your product will be shipped out shortly which is a lie.I copied and pasted one of review someone left down here because the exactly the same thing is happening to me, too. -Quote ""Prices may look good but it has happened far too many times for me where you think you're getting a great deal but they hold onto your paid order for weeks without shipping despite saying they have things in stock. I think they do this deliberately.""-I placed an order Monday before sunrise. still, have not receiveda shipping notification. They ruined our family trip. It's Friday today already."
716,They said estimate 20-30 day delivery.  Talked with someone on their website chat.  He told me it could take up to a year! What kind of company is this? I wouldnt recommend doing any business with them.
717,"I paid for a product Jan 13,2019 and they mentioned on back order less than 24 business days it should be on its way. Little communication on this after reaching out and I have fully been charged and NOW above 40+ BUSINESS days waiting for the product. No care to communicate the excess amount and still have not even offered to resolve this in any other way. Still do not have the shipping details and when I reached out they offered a minimal resolution now that the winter season is basically over. Avid outdoors individual and ordered very large items with no issues similar to this, these items are very small and not heavy at all. I would not recommend this company, go to backcountry, thehouse or anywhere else before this group."
718,"I read these reviews several times.   I ordered a Garmin Montana 700i GPS.  I called customer service several times.   Everyone I spoke was very courteous and tried to help me and answer my questions.  I had to do a manual deposit verification.  After that I got a $35 discount.  Originally I got a 20% discount.  When I placed the order no one had a Montana 700i in stock.   I was not charged until the shipment was initiated.  They found a company who had one in stock and it came today.  A brand new one in pristine condition.   Not only did they get me my product, when everyone including Garmin, was out of stock, but I got it for about $190 off, with free shipping.  I got my product in about three weeks from ordering.   The product was ""out of stock"" when ordered."
719,Bad experience. They told me to manual verify my credit card after few days from my order and never reply my email. Ok...fine... i place my second order with paypal; somehow they cancel my order. SO RUDE!
720,"I had the most incredible experience where ups  dropped the ball, but camp saver picked it up and ran it into the end zone.  They truly value you as a customer and make it easy to do business with them"
721,"Decided to 'risk it' since the price was good, despite the subpar Trustpilot reviews.Ordered 1 item for around $50 USD. Received expected item. The shipping timing was good and reasonable."
722,"On Septenmber 19th, I placed a $655 order with Campsaver and revieved a PayPal reciept. This reciept said that 'Campsaver would contact me to complete the order'. After 36 hours and nothing, I wrote to them. They responded another day later saying they had no record. I sent them the PayPal reciept as proof...they simply replied - Call Customer Service. No explaination, no appolpgies.. Nothing. So in the mean time, the sale finished and the prices went UP. So I called, FROM AUSTRALIA, ON MY DIME. They reinstated the order... And then cancelled it again 24 hours later with an email seriously trying to Antagonise me... There is alot more to this story but I'm fed up.THE VERY WORST CUSTOMER SERVICE ON THE INTERNET.AVOID AT ALL COSTS!!!!"
723,"Just wanted to give a big thanks to customer service and Shauna H. She was super responsive and was able to fully resolve my issue. Can’t thank her enough, would do business with again.-Steve"
724,"I searched the web and thought I had found the best deal on a Phantom Spark 28 sleeping bag. I ordered it and received a Phantom 32 in the mail. I brought up chat and spoke with a rep of the company, only to have them tell me that the online ad was wrong..ALL WRONG and that the one I ordered was a clearance from last year so it's a 32. NO WHERE on the website did it state this!! He said my options was to get my money back OR PAY THE DIFFERENCE...to get THE BAG I ORIGINALLY ORDERED! REALLY! I should have just been able to exchange the two since it's their fault that their add is all screwed up. Not happy with this company, will never use it again, would not recommend it...you'll never know what you'll end up with after you order, how can you trust them?"
725,"I’ve bought from CS before and was impressed by the price and the speed of delivery etc.A couple of weeks ago I bought something (on a Friday) from them using a different card and they sent me an email saying they were holding the transaction until I verified the card. I had to choose one of two options. I went the quicker one but because it was a Friday afternoon it didn’t get processed till Monday (when I called and spoke to a nice enough customer service rep). By Weds all was verified and the order has shipped (should arrive today/tomorrow).While my idea of a “fast option” is that it gets done in a day or two (not five), everything has gone smoothly, customer service was helpful and the purchase is due to arrive tomorrow (according to UPS).I would shop with them again."
726,I bought a pair of hiking shoes after much research that were rated on the top and were at a great price on CampSavers. The first pair were big so I called and they sent me a no cost return label and I was also able to place the order for a replacement pair. I opted for them to first receive this current pair before sending me the second pair. I tried out the second pair with different socks and insoles and put around 3 miles on them. But still my feet could not get used to the shoes. Called back again and told them my story. I got a no cost return label and a full refund. This is the first time I am shopping online for shoes. CampSaver with their level of service made it a good experience for me...just like going to the store. Thank you for the good service.
